order_id,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
SEM-2032,2026-08-09,Elektronik,1,250000,E-Wallet,Semarang
SEM-2033,2026-08-09,Rumah Tangga,1,50000,Kartu Kredit,Semarang
SEM-2034,2026-08-21,Makanan & Minuman,3,75000,COD,Semarang
SEM-2035,2026-08-21,Rumah Tangga,6,100000,Kartu Kredit,Semarang
SEM-2036,2026-08-30,Fashion,3,100000,COD,Semarang
SEM-2037,2026-08-04,Elektronik,3,50000,Kartu Kredit,Semarang
SEM-2038,2026-08-31,Fashion,2,250000,Kartu Kredit,Semarang
SEM-2039,2026-08-07,Rumah Tangga,1,75000,E-Wallet,Semarang
SEM-2040,2026-08-12,Makanan & Minuman,7,250000,Transfer Bank,Semarang
SEM-2041,2026-08-07,Elektronik,7,50000,Transfer Bank,Semarang
SEM-2042,2026-08-22,Fashion,4,25000,COD,Semarang
SEM-2043,2026-08-21,Kesehatan & Kecantikan,4,25000,E-Wallet,Semarang
SEM-2044,2026-08-19,Elektronik,5,250000,COD,Semarang
SEM-2045,2026-08-24,Fashion,7,250000,COD,Semarang
SEM-2046,2026-08-29,Makanan & Minuman,3,150000,E-Wallet,Semarang
SEM-2047,2026-08-30,Makanan & Minuman,2,75000,Transfer Bank,Semarang
SEM-2048,2026-08-07,Rumah Tangga,1,25000,E-Wallet,Semarang
SEM-2049,2026-08-21,Elektronik,4,150000,E-Wallet,Semarang
SEM-2050,2026-08-27,Fashion,6,50000,Kartu Kredit,Semarang
SEM-2051,2026-08-15,Rumah Tangga,6,75000,COD,Semarang
SEM-2052,2026-08-01,Elektronik,2,50000,COD,Semarang
SEM-2053,2026-08-01,Elektronik,7,150000,E-Wallet,Semarang
SEM-2054,2026-08-28,Kesehatan & Kecantikan,1,50000,E-Wallet,Semarang
SEM-2055,2026-08-29,Elektronik,5,75000,COD,Semarang
SEM-2056,2026-08-03,Kesehatan & Kecantikan,2,150000,COD,Semarang
SEM-2057,2026-08-02,Fashion,3,50000,Kartu Kredit,Semarang
SEM-2058,2026-08-01,Rumah Tangga,5,25000,Transfer Bank,Semarang
SEM-2059,2026-08-12,Kesehatan & Kecantikan,2,50000,E-Wallet,Semarang
SEM-2060,2026-08-12,Fashion,3,25000,Transfer Bank,Semarang
SEM-2061,2026-08-28,Fashion,7,150000,E-Wallet,Semarang
SEM-2062,2026-08-25,Rumah Tangga,6,75000,E-Wallet,Semarang
SEM-2063,2026-08-12,Fashion,3,25000,COD,Semarang
SEM-2064,2026-08-11,Elektronik,5,100000,Transfer Bank,Semarang
SEM-2065,2026-08-19,Kesehatan & Kecantikan,7,250000,E-Wallet,Semarang
SEM-2066,2026-08-27,Makanan & Minuman,7,100000,COD,Semarang
SEM-2067,2026-08-16,Elektronik,4,75000,COD,Semarang
SEM-2068,2026-08-04,Fashion,7,100000,E-Wallet,Semarang
SEM-2069,2026-08-28,Elektronik,5,150000,COD,Semarang
SEM-2070,2026-08-24,Fashion,1,25000,Transfer Bank,Semarang
SEM-2071,2026-08-23,Fashion,3,100000,COD,Semarang
SEM-2072,2026-08-18,Elektronik,7,100000,E-Wallet,Semarang
SEM-2073,2026-08-30,Makanan & Minuman,3,250000,Transfer Bank,Semarang
SEM-2074,2026-08-07,Fashion,1,100000,Transfer Bank,Semarang
SEM-2075,2026-08-26,Makanan & Minuman,7,250000,E-Wallet,Semarang
SEM-2076,2026-08-04,Elektronik,1,150000,Transfer Bank,Semarang
SEM-2077,2026-08-02,Elektronik,1,150000,E-Wallet,Semarang
SEM-2078,2026-08-01,Fashion,4,75000,Kartu Kredit,Semarang
SEM-2079,2026-08-27,Fashion,7,75000,Transfer Bank,Semarang
SEM-2080,2026-08-17,Makanan & Minuman,1,100000,Kartu Kredit,Semarang
SEM-2081,2026-08-20,Elektronik,6,75000,E-Wallet,Semarang
SEM-2082,2026-08-04,Makanan & Minuman,1,25000,E-Wallet,Semarang
SEM-2083,2026-08-24,Fashion,6,50000,COD,Semarang
SEM-2084,2026-08-07,Fashion,2,250000,Transfer Bank,Semarang
SEM-2085,2026-08-10,Elektronik,1,100000,E-Wallet,Semarang
SEM-2086,2026-08-15,Rumah Tangga,1,150000,COD,Semarang
SEM-2087,2026-08-13,Makanan & Minuman,2,150000,COD,Semarang
SEM-2088,2026-08-15,Rumah Tangga,3,250000,Kartu Kredit,Semarang
SEM-2089,2026-08-12,Fashion,6,250000,COD,Semarang
SEM-2090,2026-08-14,Makanan & Minuman,2,150000,E-Wallet,Semarang
SEM-2091,2026-08-28,Elektronik,2,150000,Transfer Bank,Semarang
SEM-2092,2026-08-28,Elektronik,1,100000,E-Wallet,Semarang
SEM-2093,2026-08-14,Elektronik,6,250000,COD,Semarang
SEM-2094,2026-08-02,Fashion,4,250000,COD,Semarang
SEM-2095,2026-08-09,Elektronik,4,75000,COD,Semarang
SEM-2096,2026-08-31,Fashion,4,250000,E-Wallet,Semarang
SEM-2097,2026-08-28,Makanan & Minuman,1,250000,E-Wallet,Semarang
SEM-2098,2026-08-10,Kesehatan & Kecantikan,4,150000,COD,Semarang
SEM-2099,2026-08-16,Makanan & Minuman,4,150000,Transfer Bank,Semarang
SEM-2100,2026-08-15,Rumah Tangga,6,50000,COD,Semarang
SEM-2101,2026-08-01,Fashion,6,250000,E-Wallet,Semarang
SEM-2102,2026-08-20,Rumah Tangga,2,100000,COD,Semarang
SEM-2103,2026-08-11,Fashion,7,25000,COD,Semarang
SEM-2104,2026-08-10,Elektronik,4,150000,COD,Semarang
SEM-2105,2026-08-02,Makanan & Minuman,5,50000,Kartu Kredit,Semarang
SEM-2106,2026-08-26,Makanan & Minuman,2,150000,Transfer Bank,Semarang
SEM-2107,2026-08-23,Makanan & Minuman,6,75000,E-Wallet,Semarang
SEM-2108,2026-08-03,Fashion,7,250000,Kartu Kredit,Semarang
SEM-2109,2026-08-20,Fashion,1,50000,E-Wallet,Semarang
SEM-2110,2026-08-13,Kesehatan & Kecantikan,7,75000,E-Wallet,Semarang
SEM-2111,2026-08-21,Makanan & Minuman,5,250000,COD,Semarang
SEM-2112,2026-08-25,Elektronik,5,25000,Transfer Bank,Semarang
SEM-2113,2026-08-30,Elektronik,4,25000,Kartu Kredit,Semarang
SEM-2114,2026-08-25,Makanan & Minuman,4,50000,Kartu Kredit,Semarang
SEM-2115,2026-08-04,Rumah Tangga,6,50000,COD,Semarang
SEM-2116,2026-08-01,Elektronik,3,150000,COD,Semarang
SEM-2117,2026-08-27,Elektronik,7,50000,Transfer Bank,Semarang
SEM-2118,2026-08-21,Rumah Tangga,2,75000,Transfer Bank,Semarang
SEM-2119,2026-08-20,Fashion,6,250000,E-Wallet,Semarang
SEM-2120,2026-08-30,Fashion,4,50000,E-Wallet,Semarang
SEM-2121,2026-08-30,Makanan & Minuman,4,50000,Kartu Kredit,Semarang
SEM-2122,2026-08-06,Elektronik,5,25000,E-Wallet,Semarang
SEM-2123,2026-08-07,Fashion,3,250000,Kartu Kredit,Semarang
SEM-2124,2026-08-03,Kesehatan & Kecantikan,7,250000,Transfer Bank,Semarang
SEM-2125,2026-08-15,Kesehatan & Kecantikan,3,75000,E-Wallet,Semarang
SEM-2126,2026-08-19,Fashion,1,25000,E-Wallet,Semarang
SEM-2127,2026-08-19,Elektronik,5,50000,Kartu Kredit,Semarang
SEM-2128,2026-08-29,Makanan & Minuman,3,50000,Kartu Kredit,Semarang
SEM-2129,2026-08-24,Makanan & Minuman,4,150000,Transfer Bank,Semarang
SEM-2130,2026-08-30,Fashion,5,100000,Kartu Kredit,Semarang
SEM-2131,2026-08-19,Elektronik,3,50000,Kartu Kredit,Semarang
SEM-2132,2026-08-17,Elektronik,3,50000,E-Wallet,Semarang
SEM-2133,2026-08-18,Fashion,2,25000,Kartu Kredit,Semarang
SEM-2134,2026-08-28,Makanan & Minuman,4,50000,E-Wallet,Semarang
SEM-2135,2026-08-26,Makanan & Minuman,5,50000,Transfer Bank,Semarang
SEM-2136,2026-08-10,Elektronik,3,250000,E-Wallet,Semarang
SEM-2137,2026-08-18,Makanan & Minuman,7,75000,E-Wallet,Semarang
SEM-2138,2026-08-12,Elektronik,4,25000,E-Wallet,Semarang
SEM-2139,2026-08-10,Elektronik,2,75000,COD,Semarang
SEM-2140,2026-08-16,Fashion,5,75000,Kartu Kredit,Semarang
SEM-2141,2026-08-03,Fashion,2,250000,Transfer Bank,Semarang
SEM-2142,2026-08-10,Fashion,5,50000,E-Wallet,Semarang
SEM-2143,2026-08-08,Kesehatan & Kecantikan,6,250000,COD,Semarang
SEM-2144,2026-08-14,Fashion,2,75000,COD,Semarang
SEM-2145,2026-08-05,Elektronik,2,50000,Kartu Kredit,Semarang
SEM-2146,2026-08-01,Rumah Tangga,5,75000,COD,Semarang
SEM-2147,2026-08-20,Fashion,3,25000,E-Wallet,Semarang
SEM-2148,2026-08-26,Fashion,5,100000,E-Wallet,Semarang
SEM-2149,2026-08-19,Elektronik,1,25000,COD,Semarang
SEM-2150,2026-08-14,Rumah Tangga,5,100000,COD,Semarang
SEM-2151,2026-08-08,Makanan & Minuman,7,250000,Kartu Kredit,Semarang
SEM-2152,2026-08-20,Makanan & Minuman,3,100000,COD,Semarang
SEM-2153,2026-08-24,Rumah Tangga,3,75000,E-Wallet,Semarang
SEM-2154,2026-08-16,Elektronik,3,25000,Kartu Kredit,Semarang
SEM-2155,2026-08-03,Fashion,1,50000,COD,Semarang
SEM-2156,2026-08-17,Fashion,7,150000,COD,Semarang
SEM-2157,2026-08-04,Kesehatan & Kecantikan,2,75000,Transfer Bank,Semarang
SEM-2158,2026-08-12,Elektronik,5,25000,Transfer Bank,Semarang
SEM-2159,2026-08-04,Elektronik,5,150000,COD,Semarang
SEM-2160,2026-08-24,Rumah Tangga,5,100000,Transfer Bank,Semarang
SEM-2161,2026-08-06,Elektronik,4,250000,E-Wallet,Semarang
SEM-2162,2026-08-16,Makanan & Minuman,3,75000,COD,Semarang
SEM-2163,2026-08-04,Fashion,5,100000,COD,Semarang
SEM-2164,2026-08-04,Elektronik,7,75000,Kartu Kredit,Semarang
SEM-2165,2026-08-22,Makanan & Minuman,1,50000,COD,Semarang
SEM-2166,2026-08-18,Elektronik,7,250000,E-Wallet,Semarang
SEM-2167,2026-08-08,Kesehatan & Kecantikan,3,75000,Kartu Kredit,Semarang
SEM-2168,2026-08-04,Fashion,5,75000,Transfer Bank,Semarang
SEM-2169,2026-08-31,Elektronik,7,50000,E-Wallet,Semarang
SEM-2170,2026-08-10,Fashion,1,150000,COD,Semarang
SEM-2171,2026-08-18,Fashion,6,250000,COD,Semarang
SEM-2172,2026-08-13,Fashion,7,100000,Transfer Bank,Semarang
SEM-2173,2026-08-03,Fashion,6,50000,Kartu Kredit,Semarang
SEM-2174,2026-08-17,Rumah Tangga,2,150000,COD,Semarang
SEM-2175,2026-08-14,Makanan & Minuman,6,250000,Transfer Bank,Semarang
SEM-2176,2026-08-19,Kesehatan & Kecantikan,6,50000,Transfer Bank,Semarang
SEM-2177,2026-08-05,Fashion,1,250000,E-Wallet,Semarang
SEM-2178,2026-08-24,Rumah Tangga,6,75000,Transfer Bank,Semarang
SEM-2179,2026-08-30,Makanan & Minuman,5,150000,COD,Semarang
SEM-2180,2026-08-07,Makanan & Minuman,5,150000,Kartu Kredit,Semarang
SEM-2181,2026-08-12,Kesehatan & Kecantikan,4,50000,Transfer Bank,Semarang
SEM-2182,2026-08-04,Elektronik,7,50000,E-Wallet,Semarang
SEM-2183,2026-08-14,Elektronik,4,50000,Kartu Kredit,Semarang
SEM-2184,2026-08-31,Kesehatan & Kecantikan,4,25000,E-Wallet,Semarang
SEM-2185,2026-08-10,Elektronik,6,250000,E-Wallet,Semarang
SEM-2186,2026-08-24,Kesehatan & Kecantikan,7,75000,E-Wallet,Semarang
SEM-2187,2026-08-18,Fashion,2,50000,Transfer Bank,Semarang
SEM-2188,2026-08-23,Rumah Tangga,7,100000,Kartu Kredit,Semarang
SEM-2189,2026-08-13,Makanan & Minuman,5,250000,COD,Semarang
SEM-2190,2026-08-04,Rumah Tangga,3,250000,Transfer Bank,Semarang
SEM-2191,2026-08-22,Kesehatan & Kecantikan,7,250000,Kartu Kredit,Semarang
SEM-2192,2026-08-01,Elektronik,6,50000,E-Wallet,Semarang
SEM-2193,2026-08-24,Fashion,2,150000,E-Wallet,Semarang
SEM-2194,2026-08-12,Elektronik,3,25000,E-Wallet,Semarang
SEM-2195,2026-08-31,Rumah Tangga,6,75000,Transfer Bank,Semarang
SEM-2196,2026-08-15,Kesehatan & Kecantikan,5,75000,Transfer Bank,Semarang
SEM-2197,2026-08-01,Makanan & Minuman,4,75000,E-Wallet,Semarang
SEM-2198,2026-08-05,Fashion,7,25000,Transfer Bank,Semarang
SEM-2199,2026-08-22,Kesehatan & Kecantikan,2,100000,COD,Semarang
